id,name,zip_id/id
district_sv_110118,Santa Elena,l10n_sv_base_location.zip_sv_1101_03422
district_sv_110120,Santa María,l10n_sv_base_location.zip_sv_1101_03423
district_sv_110122,Tecapán,l10n_sv_base_location.zip_sv_1101_03426
district_sv_110123,Usulután,l10n_sv_base_location.zip_sv_1101_03401
district_sv_110201,Alegría,l10n_sv_base_location.zip_sv_1102_03404
district_sv_110202,Berlín,l10n_sv_base_location.zip_sv_1102_03403
district_sv_110205,El Triunfo,l10n_sv_base_location.zip_sv_1102_03406
district_sv_110207,Estanzuelas,l10n_sv_base_location.zip_sv_1102_03408
district_sv_110209,Jucuapa,l10n_sv_base_location.zip_sv_1102_03410
district_sv_110211,Mercedes Umaña,l10n_sv_base_location.zip_sv_1102_03412
district_sv_110212,Nueva Granada,l10n_sv_base_location.zip_sv_1102_03413
district_sv_110216,San Buenaventura,l10n_sv_base_location.zip_sv_1102_03409
district_sv_110221,Santiago de María,l10n_sv_base_location.zip_sv_1102_03424
district_sv_110308,Jiquilisco,l10n_sv_base_location.zip_sv_1103_03409
district_sv_110314,Puerto El Triunfo,l10n_sv_base_location.zip_sv_1103_03417
district_sv_110315,San Agustín,l10n_sv_base_location.zip_sv_1103_03418
district_sv_110319,San Francisco Javier,l10n_sv_base_location.zip_sv_1103_03421
district_sv_120103,Comacarán,l10n_sv_base_location.zip_sv_1201_03304
district_sv_120106,Chirilagua,l10n_sv_base_location.zip_sv_1201_03307
district_sv_120109,Moncagua,l10n_sv_base_location.zip_sv_1201_03312
district_sv_120112,Quelepa,l10n_sv_base_location.zip_sv_1201_03315
district_sv_120117,San Miguel,l10n_sv_base_location.zip_sv_1201_03301
district_sv_120120,Uluazapa,l10n_sv_base_location.zip_sv_1201_03324
district_sv_120201,Carolina,l10n_sv_base_location.zip_sv_1202_03302
district_sv_120202,Ciudad Barrios,l10n_sv_base_location.zip_sv_1202_03303
district_sv_120204,Chapeltique,l10n_sv_base_location.zip_sv_1202_03305
district_sv_120211,Nuevo Edén de San Juan,l10n_sv_base_location.zip_sv_1202_03314
district_sv_120213,San Antonio del Mosco,l10n_sv_base_location.zip_sv_1202_03316
district_sv_120214,San Gerardo,l10n_sv_base_location.zip_sv_1202_03318
district_sv_120216,San Luis de La Reina,l10n_sv_base_location.zip_sv_1202_03320
district_sv_120219,Sesori,l10n_sv_base_location.zip_sv_1202_03323
district_sv_120305,Chinameca,l10n_sv_base_location.zip_sv_1203_03306
district_sv_120307,El Tránsito,l10n_sv_base_location.zip_sv_1203_03309
district_sv_120308,Lolotique,l10n_sv_base_location.zip_sv_1203_03311
district_sv_120310,Nueva Guadalupe,l10n_sv_base_location.zip_sv_1203_03313
district_sv_120315,San Jorge,l10n_sv_base_location.zip_sv_1203_03319
district_sv_120318,San Rafael Oriente,l10n_sv_base_location.zip_sv_1203_03322
district_sv_130101,Arambala,l10n_sv_base_location.zip_sv_1301_03202
district_sv_130102,Cacaopera,l10n_sv_base_location.zip_sv_1301_03216
district_sv_130103,Corinto,l10n_sv_base_location.zip_sv_1301_03204
district_sv_130107,El Rosario,l10n_sv_base_location.zip_sv_1301_03208
district_sv_130110,Joateca,l10n_sv_base_location.zip_sv_1301_03211
district_sv_130111,Jocoaitique,l10n_sv_base_location.zip_sv_1301_03212
district_sv_130114,Meanguera,l10n_sv_base_location.zip_sv_1301_03215
district_sv_130116,Perquín,l10n_sv_base_location.zip_sv_1301_03217
district_sv_130118,San Fernando,l10n_sv_base_location.zip_sv_1301_03219
district_sv_130120,San Isidro,l10n_sv_base_location.zip_sv_1301_03220
district_sv_130124,Torola,l10n_sv_base_location.zip_sv_1301_03224
district_sv_130204,Chilanga,l10n_sv_base_location.zip_sv_1302_03203
district_sv_130205,Delicias de Concepción,l10n_sv_base_location.zip_sv_1302_03206
district_sv_130206,El Divisadero,l10n_sv_base_location.zip_sv_1302_03207
district_sv_130208,Gualococti,l10n_sv_base_location.zip_sv_1302_03209
district_sv_130209,Guatajiagua,l10n_sv_base_location.zip_sv_1302_03210
district_sv_130212,Jocoro,l10n_sv_base_location.zip_sv_1302_03213
district_sv_130213,Lolotiquillo,l10n_sv_base_location.zip_sv_1302_03214
district_sv_130215,Osicala,l10n_sv_base_location.zip_sv_1302_03216
district_sv_130217,San Carlos,l10n_sv_base_location.zip_sv_1302_03218
district_sv_130219,San Francisco Gotera,l10n_sv_base_location.zip_sv_1302_03201
district_sv_130221,San Simón,l10n_sv_base_location.zip_sv_1302_03221
district_sv_130222,Sensembra,l10n_sv_base_location.zip_sv_1302_03222
district_sv_130223,Sociedad,l10n_sv_base_location.zip_sv_1302_03223
district_sv_130225,Yamabal,l10n_sv_base_location.zip_sv_1302_03225
district_sv_130226,Yoloaiquín,l10n_sv_base_location.zip_sv_1302_03226
district_sv_140101,Anamorós,l10n_sv_base_location.zip_sv_1401_03104
